iter	Passed	Remaining
0	5	561
1	7	373
2	8	290
3	10	253
4	11	226
5	13	205
6	15	199
7	16	194
8	23	235
9	25	229
10	26	216
11	28	209
12	30	202
13	37	229
14	38	220
15	40	211
16	41	203
17	44	201
18	45	194
19	47	190
20	48	183
21	50	177
22	51	173
23	59	189
24	61	183
25	62	178
26	64	175
27	73	188
28	74	183
29	76	177
30	77	173
31	80	171
32	82	167
33	83	162
34	84	157
35	91	162
36	93	158
37	94	154
38	96	151
39	97	146
40	100	145
41	102	141
42	104	138
43	108	138
44	110	134
45	114	133
46	115	130
47	117	126
48	128	133
49	130	130
50	132	127
51	133	123
52	136	121
53	138	117
54	140	114
55	141	111
56	146	110
57	149	108
58	151	105
59	153	102
60	154	99
61	156	95
62	158	92
63	159	89
64	162	87
65	165	85
66	167	82
67	168	79
68	170	76
69	172	74
70	175	71
71	177	69
72	178	66
73	180	63
74	182	60
75	184	58
76	190	56
77	191	53
78	192	51
79	194	48
80	195	45
81	201	44
82	202	41
83	204	38
84	205	36
85	207	33
86	208	31
87	215	29
88	217	26
89	219	24
90	221	21
91	228	19
92	230	17
93	231	14
94	233	12
95	242	10
96	243	7
97	245	5
98	246	2
99	247	0
